#{"t_start": 1610445939.871809, "env_id": null}
r,l,t
2.152954,4,24.777073
2.260663,4,24.943375
2.421022,4,25.167116
1.869616,4,25.397564
2.312718,4,25.582569
2.020545,4,25.701102
2.25882,4,25.89857
2.333708,4,26.116851
2.374647,4,26.33396
2.064909,4,26.472224
2.538104,4,26.600705
2.112286,4,26.820459
2.156192,4,27.040806
2.549164,4,27.256149
2.306412,4,27.373888
2.308866,4,27.539788
2.337022,4,27.759227
1.746154,4,27.97192
2.18771,4,28.158741
2.33004,4,28.255523
2.635148,4,28.386878
2.312991,4,28.607803
1.640588,4,28.828533
1.929784,4,29.030987
1.805015,4,29.140842
1.957219,4,29.33891
1.949137,4,29.561974
1.945414,4,29.786347
2.419291,4,29.911152
2.357313,4,30.072179
2.374114,4,30.298092
2.380103,4,30.522895
2.47883,4,30.68515
2.246742,4,30.800531
2.370396,4,31.023615
2.195625,4,31.247658
2.254001,4,31.473012
1.910665,4,31.580833
2.430357,4,31.768283
2.515906,4,31.992338
2.302009,4,32.210553
2.31716,4,32.354032
2.480325,4,32.495075
2.390796,4,32.706215
1.956632,4,33.148745
2.344994,4,33.316952
2.589331,4,33.53629
2.57312,4,33.755459
2.3446,4,33.912194
2.323127,4,34.063292
2.562722,4,34.290839
2.326372,4,34.515402
2.240663,4,34.714932
2.39722,4,34.820593
2.471336,4,35.025194
1.996328,4,35.248586
2.377567,4,35.472855
2.205413,4,35.593734
2.384652,4,35.760298
2.241316,4,35.983642
2.316222,4,36.202603
2.661592,4,36.364308
1.999606,4,36.492813
2.337655,4,36.715289
2.215909,4,36.932274
2.130514,4,37.119454
1.772088,4,37.221241
2.183379,4,37.416973
2.215549,4,37.63848
2.321291,4,37.863722
2.307531,4,37.997988
1.974642,4,38.127587
1.895604,4,38.358973
2.323143,4,38.579929
2.393301,4,38.775276
2.263041,4,38.878135
2.25222,4,39.070975
2.643836,4,39.291622
2.340588,4,39.513798
2.252822,4,39.6291
1.560695,4,39.791617
2.503125,4,40.011475
2.412225,4,40.224654
2.508516,4,40.413016
2.485622,4,40.527465
2.507576,4,40.732726
2.12363,4,40.952879
2.274314,4,41.170509
2.399884,4,41.295194
2.290837,4,41.462591
1.974037,4,41.682904
2.33427,4,41.908635
1.943102,4,42.082482
1.998343,4,42.209574
2.056165,4,42.395417
2.077963,4,42.622153
2.32895,4,42.852495
2.388382,4,42.970474
2.212881,4,43.12566
2.062089,4,43.354484
2.345596,4,43.577857
2.655714,4,43.773157
2.381888,4,43.881664
2.514607,4,44.089567
1.950645,4,44.314988
2.24477,4,44.535124
2.234825,4,44.680029
2.247245,4,44.823512
2.551027,4,45.046778
2.423634,4,45.25891
2.446287,4,45.469383
2.561405,4,45.576375
2.429701,4,45.748199
2.566152,4,45.965634
2.738387,4,46.18389
2.57799,4,46.340888
2.648689,4,46.465765
2.58242,4,46.684349
2.625329,4,46.911598
2.465845,4,47.129534
2.294186,4,47.235983
2.409282,4,47.378124
2.669488,4,47.695696
2.050397,4,53.517514
2.103193,4,59.314386
2.11875,4,65.405025
0.339939,4,71.426339
0.421158,4,77.473019
