#{"t_start": 1610445939.871809, "env_id": null}
r,l,t
-0.356021,4,0.664771
-0.013605,4,0.772428
-0.225157,4,0.976402
-0.028176,4,1.197162
-0.211344,4,1.413887
0.109131,4,1.539591
0.149065,4,1.715297
0.34086,4,1.940247
0.342987,4,2.169932
0.572245,4,2.344207
0.766732,4,2.482385
1.047431,4,2.696954
0.873936,4,2.917004
1.061791,4,3.140481
1.112197,4,3.260087
1.267242,4,3.436768
1.30204,4,3.664107
1.316564,4,3.885986
1.001533,4,4.047035
1.353145,4,4.179884
1.284352,4,4.397931
1.141449,4,4.628041
1.225992,4,4.856773
1.303088,4,4.982988
1.794495,4,5.106657
2.017057,4,5.328553
1.256699,4,5.548602
1.547963,4,5.764088
1.990081,4,5.874181
1.744895,4,6.049882
2.17402,4,6.271565
1.881524,4,6.493126
1.949191,4,6.664075
1.481914,4,6.789247
1.972773,4,7.013662
1.821626,4,7.239573
1.857592,4,7.464003
1.679469,4,7.602524
1.80802,4,7.791149
1.483272,4,8.017199
1.968392,4,8.239636
1.535773,4,8.38843
1.503261,4,8.52371
1.709978,4,8.743594
1.962024,4,8.962136
1.940623,4,9.175897
1.415982,4,9.283885
2.11554,4,9.459579
2.073047,4,9.683334
1.897757,4,9.901245
2.092209,4,10.076093
2.246447,4,10.197781
1.68605,4,10.412775
1.603303,4,10.638244
2.039535,4,10.857181
1.865676,4,10.985739
1.601564,4,11.170236
1.73831,4,11.394121
1.896405,4,11.61158
1.987088,4,11.777508
1.839059,4,11.903358
2.130424,4,12.092451
2.09751,4,12.317065
1.52938,4,12.540451
1.818623,4,12.704825
1.935019,4,12.82759
1.184599,4,13.043511
1.742066,4,13.27056
1.911642,4,13.494354
1.772676,4,13.629812
2.012533,4,13.771046
2.050885,4,13.990277
2.133096,4,14.211414
2.376326,4,14.426198
1.954606,4,14.557082
2.131606,4,14.750643
2.340562,4,14.984272
2.209564,4,15.204364
1.963634,4,15.347042
2.226862,4,15.484009
2.452651,4,15.697786
1.906596,4,15.91293
2.489614,4,16.126973
2.28796,4,16.226428
2.397219,4,16.359187
2.155067,4,16.573149
2.119035,4,16.997399
2.187851,4,17.111765
2.111879,4,17.308052
2.377834,4,17.530802
2.384253,4,17.745863
2.081217,4,17.866803
1.814592,4,18.016284
2.460177,4,18.243524
2.463422,4,18.466481
1.843559,4,18.67723
2.030656,4,18.792223
2.15453,4,18.974747
1.966517,4,19.20068
1.34241,4,19.421908
2.292817,4,19.56821
2.254058,4,19.711637
2.008066,4,19.938436
2.194832,4,20.168221
2.268969,4,20.394087
2.176983,4,20.510845
2.288849,4,20.659645
1.977466,4,20.883785
1.914042,4,21.108466
1.863676,4,21.323168
2.170457,4,21.430853
2.267039,4,21.60058
1.992426,4,21.826041
2.230794,4,22.047054
2.255449,4,22.197647
2.350837,4,22.334269
2.376347,4,22.552996
2.540737,4,22.774174
1.796353,4,22.998569
2.205484,4,23.106656
1.882311,4,23.293176
2.143766,4,23.516416
2.10983,4,23.731968
1.985441,4,23.868654
2.222576,4,24.01899
2.367279,4,24.242138
2.085204,4,24.462443
1.883535,4,24.664896
